2026/03/14 05:16:18 [error] 200#200: *17 open() "/var/www/html/wp-admin/setup-config.php" failed (2: No such file or directory), client: 104.23.221.86, server: localhost-nginx-proxy-manager, request: "GET /wp-admin/setup-config.php HTTP/1.1", host: "ai-electutor.com"
2026/03/14 05:36:41 [error] 255#255: *539 open() "/var/www/html/app/.env.staging" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /app/.env.staging HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:41 [error] 255#255: *539 open() "/var/www/html/app/.env.dev" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /app/.env.dev HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:41 [error] 255#255: *539 open() "/var/www/html/backend/.env" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /backend/.env HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:42 [error] 255#255: *539 open() "/var/www/html/backend/.env.local" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /backend/.env.local HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:42 [error] 255#255: *539 open() "/var/www/html/backend/.env.production" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /backend/.env.production HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:42 [error] 255#255: *539 open() "/var/www/html/backend/.env.staging" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /backend/.env.staging HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:43 [error] 255#255: *539 open() "/var/www/html/backend/.env.dev" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /backend/.env.dev HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:43 [error] 255#255: *539 open() "/var/www/html/frontend/.env" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /frontend/.env HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:43 [error] 255#255: *539 open() "/var/www/html/frontend/.env.local" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /frontend/.env.local HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:43 [error] 255#255: *539 open() "/var/www/html/frontend/.env.production" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /frontend/.env.production HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:44 [error] 255#255: *539 open() "/var/www/html/frontend/.env.staging" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /frontend/.env.staging HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:44 [error] 255#255: *539 open() "/var/www/html/frontend/.env.dev" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /frontend/.env.dev HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:44 [error] 255#255: *539 open() "/var/www/html/src/.env" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /src/.env HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:45 [error] 255#255: *539 open() "/var/www/html/src/.env.local" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /src/.env.local HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:45 [error] 255#255: *539 open() "/var/www/html/src/.env.production" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /src/.env.production HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:45 [error] 255#255: *539 open() "/var/www/html/src/.env.staging" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /src/.env.staging HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:45 [error] 255#255: *539 open() "/var/www/html/src/.env.dev" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /src/.env.dev HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:46 [error] 255#255: *539 open() "/var/www/html/.aws/credentials" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /.aws/credentials HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:46 [error] 255#255: *539 open() "/var/www/html/.aws/config" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /.aws/config HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:46 [error] 255#255: *539 open() "/var/www/html/aws/credentials" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /aws/credentials HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:46 [error] 255#255: *539 open() "/var/www/html/aws/config" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /aws/config HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:47 [error] 255#255: *539 open() "/var/www/html/home/ec2-user/.aws/credentials" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /home/ec2-user/.aws/credentials HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:47 [error] 255#255: *539 open() "/var/www/html/home/ubuntu/.aws/credentials" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /home/ubuntu/.aws/credentials HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:47 [error] 255#255: *539 open() "/var/www/html/root/.aws/credentials" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /root/.aws/credentials HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:48 [error] 255#255: *539 open() "/var/www/html/etc/aws/credentials" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /etc/aws/credentials HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:48 [error] 255#255: *539 open() "/var/www/html/opt/aws/credentials" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /opt/aws/credentials HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:48 [error] 255#255: *539 open() "/var/www/html/var/lib/aws/credentials" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /var/lib/aws/credentials HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:48 [error] 255#255: *539 open() "/var/www/html/shared/aws/credentials" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /shared/aws/credentials HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:49 [error] 255#255: *539 open() "/var/www/html/aws/credentials.txt" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /aws/credentials.txt HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:49 [error] 255#255: *539 open() "/var/www/html/aws/access-keys.txt" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /aws/access-keys.txt HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:49 [error] 255#255: *539 open() "/var/www/html/aws/iam-credentials.json" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /aws/iam-credentials.json HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:50 [error] 255#255: *539 open() "/var/www/html/config" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /config HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:50 [error] 255#255: *539 open() "/var/www/html/config.json" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /config.json HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:50 [error] 255#255: *539 open() "/var/www/html/config.yml" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /config.yml HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:50 [error] 255#255: *539 open() "/var/www/html/config.yaml" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /config.yaml HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:51 [error] 255#255: *539 open() "/var/www/html/config.ini" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /config.ini HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:51 [error] 255#255: *539 open() "/var/www/html/config.cfg" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /config.cfg HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:51 [error] 255#255: *539 open() "/var/www/html/config.conf" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /config.conf HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:52 [error] 255#255: *539 open() "/var/www/html/settings.json" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /settings.json HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:52 [error] 255#255: *539 open() "/var/www/html/settings.yml" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /settings.yml HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:52 [error] 255#255: *539 open() "/var/www/html/settings.yaml" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /settings.yaml HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:52 [error] 255#255: *539 open() "/var/www/html/settings.ini" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /settings.ini HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:53 [error] 255#255: *539 open() "/var/www/html/settings.cfg" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /settings.cfg HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:53 [error] 255#255: *539 open() "/var/www/html/settings.conf" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /settings.conf HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:53 [error] 255#255: *539 open() "/var/www/html/parameters.yml" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /parameters.yml HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:54 [error] 255#255: *539 open() "/var/www/html/parameters.yaml" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /parameters.yaml HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:54 [error] 255#255: *539 open() "/var/www/html/parameters.ini" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /parameters.ini HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:54 [error] 255#255: *539 open() "/var/www/html/parameters.json" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /parameters.json HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:54 [error] 255#255: *539 open() "/var/www/html/appsettings.json" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /appsettings.json HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:55 [error] 255#255: *539 open() "/var/www/html/appsettings.Development.json" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /appsettings.Development.json HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:55 [error] 255#255: *539 open() "/var/www/html/appsettings.Production.json" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /appsettings.Production.json HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:55 [error] 255#255: *539 open() "/var/www/html/appsettings.Staging.json" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /appsettings.Staging.json HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:56 [error] 255#255: *539 open() "/var/www/html/database.yml" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /database.yml HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:56 [error] 255#255: *539 open() "/var/www/html/database.yaml" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /database.yaml HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:56 [error] 255#255: *539 open() "/var/www/html/database.ini" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /database.ini HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:56 [error] 255#255: *539 open() "/var/www/html/database.json" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /database.json HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:57 [error] 255#255: *539 open() "/var/www/html/db/config" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /db/config HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:57 [error] 255#255: *539 open() "/var/www/html/db/config.yml" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /db/config.yml HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:57 [error] 255#255: *539 open() "/var/www/html/db/config.yaml" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /db/config.yaml HTTP/1.1", host: "158.247.221.212"
